"","Plant_Species","Compartment","Treatment","Phylum","Class","Order","Family","n_ASVs"
"1","B. oleracea","Root","meJA 0.1mM","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",1
"2","B. oleracea","Root","meJA 0.1mM","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",1
"3","B. oleracea","Root","meJA 0.1mM","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",1
"4","B. oleracea","Root","meJA 0.1mM","Firmicutes","Bacilli","Bacillales","Bacillaceae",1
"5","B. oleracea","Root","meJA 0.1mM","Firmicutes","Bacilli","Bacillales","Planococcaceae",1
"6","B. oleracea","Root","meJA 0.1mM","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",1
"7","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",1
"8","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",1
"9","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",4
"10","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",1
"11","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",3
"12","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",1
"13","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family",1
"14","B. oleracea","Root","meJA 0.1mM","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",1
"15","B. oleracea","Root","meJA 1mM","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",1
"16","B. oleracea","Root","meJA 1mM","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",2
"17","B. oleracea","Root","meJA 1mM","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
"18","B. oleracea","Root","meJA 1mM","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",2
"19","B. oleracea","Root","meJA 1mM","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",1
"20","B. oleracea","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",1
"21","B. oleracea","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",1
"22","B. oleracea","Root","meJA 1mM","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",1
"23","B. oleracea","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",6
"24","B. oleracea","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",1
"25","B. oleracea","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",3
"26","B. oleracea","Root","meJA 1mM","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",1
