"","Plant_Species","Compartment","Phylum","Class","Order","Family","n_ASVs"
"1","A. thaliana","Root","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)",1
"2","A. thaliana","Root","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",1
"3","A. thaliana","Root","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",2
"4","A. thaliana","Root","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",2
"5","A. thaliana","Root","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae",6
"6","A. thaliana","Root","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae",2
"7","A. thaliana","Root","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",1
"8","A. thaliana","Root","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
"9","A. thaliana","Root","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",6
"10","A. thaliana","Root","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",4
"11","A. thaliana","Root","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9",2
"12","A. thaliana","Root","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",1
"13","A. thaliana","Root","Firmicutes","Bacilli","Bacillales","Bacillaceae",1
"14","A. thaliana","Root","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae",2
"15","A. thaliana","Root","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",2
"16","A. thaliana","Root","Myxococcota","Polyangia","Polyangiales","BIrii41",1
"17","A. thaliana","Root","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",1
"18","A. thaliana","Root","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",3
"19","A. thaliana","Root","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",1
"20","A. thaliana","Root","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",1
"21","A. thaliana","Root","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",4
"22","A. thaliana","Root","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",1
"23","A. thaliana","Root","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",4
"24","A. thaliana","Root","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",6
"25","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",4
"26","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",4
"27","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",9
"28","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",1
"29","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family",1
"30","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",1
"31","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",2
"32","A. thaliana","Root","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",3
"33","A. thaliana","Soil","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",1
"34","A. thaliana","Soil","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae",1
"35","A. thaliana","Soil","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",2
"36","A. thaliana","Soil","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",1
"37","A. thaliana","Soil","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",6
"38","B. oleracea","Root","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",1
"39","B. oleracea","Root","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",2
"40","B. oleracea","Root","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",1
