"Sub_community","Plant_species","Sample_type","MeJA_treatment","sample","ASV","abundance","Domain","Phylum","Class","Order","Family","Genus","Species"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_5",56,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_5",76,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_5",119,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_5",100,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","19_Soil","ASV_5",103,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","2_Soil","ASV_5",96,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","20_Soil","ASV_5",93,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","21_Soil","ASV_5",103,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","27_Soil","ASV_5",62,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","28_Soil","ASV_5",98,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","29_Soil","ASV_5",72,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","30_Soil","ASV_5",135,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","33_Soil","ASV_5",105,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","37_Soil","ASV_5",44,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","38_Soil","ASV_5",69,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","39_Soil","ASV_5",78,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","4_Soil","ASV_5",253,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","41_Soil","ASV_5",78,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","43_Soil","ASV_5",90,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","45_Soil","ASV_5",114,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","48_Soil","ASV_5",65,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","7_Soil","ASV_5",51,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","8_Soil","ASV_5",55,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","9_Soil","ASV_5",55,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rhizobacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_29",52,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_29",42,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_29",58,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_29",63,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","19_Soil","ASV_29",23,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","2_Soil","ASV_29",33,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","20_Soil","ASV_29",38,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","21_Soil","ASV_29",63,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","27_Soil","ASV_29",25,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
